Article;Vehicle Reference;EAN;Headline;Series;Type;Price;Part 1;Part 2;Part 3;Part 4;Part 5;Part 6;Part 7;Part 8;Part 9;Part 10;Part 11;Part 12;Part 13;Part 14;Part 15;Part 16;Part 17;Part 18;Part 19;Part 20;Additional pics
COFIT MERCEDES C-CLASS W205 COAX EVO;100028;4251834500297;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;2:3
COFIT MERCEDES C-CLASS W205 COAX EVO;100029;4251834500297;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 COAX EVO;100030;4251834500297;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 COAX EVO;100031;4251834500297;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100028;4251834500273;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100029;4251834500273;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100030;4251834500273;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES C-CLASS W205 EVO;100031;4251834500273;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS CABRIO A238 COAX EVO;100032;4251834501911;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS CABRIO A238 EVO;100032;4251834501850;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS COUPE C238 COAX EVO;100033;4251834501904;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS COUPE C238 EVO;100033;4251834501843;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 COAX EVO;100034;4251834501898;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 COAX EVO;100035;4251834501898;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 EVO;100034;4251834501836;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES E-CLASS W213 EVO;100035;4251834501836;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC COUPE C253 COAX EVO;100036;4251834501881;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC COUPE C253 EVO;100036;4251834501843;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC SUV X253 EVO;100037;4251834501812;150W PERFECT FIT COAX-COMPO;COFITMERCEDESEVO;Lautsprecher vorn;450;COFIT MERCEDES C-CLASS W205 COAX EVO;AX 08 MBL EVO;AX 08 MBR EVO;FWK W205;;;;;;;;;;;;;;;;;
COFIT MERCEDES GLC SUV X253 COAX EVO;100037;4251834501874;55W PERFECT FIT COAX SYSTEM;COFITCOAXMERCEDESEVO;Lautsprecher hinten;140;COFIT MERCEDES C-CLASS W205 COAX EVO;;;;;;;;;;;;;;;;;;;;
COFIT MERCEDES W124 EVO;100044;4260101647085;80W PERFECT FIT COAXIAL SYSTEM;COFITMERCEDESEVO;Lautsprecher vorn;135;CO 120 EVO;CONNECTOR 013;;;;;;;;;;;;;;;;;;;
COFIT VW Bora Rear EVO;100066;4251834506138;90W PERFECT FIT COAX;COFIT165EVO;Lautsprecher hinten;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG;CONNECTOR 020;;;;;;;;;;;;;;;;;
COFIT VW Eos Rear EVO;100067;4251834506169;90W PERFECT FIT COAX;COFIT165EVO;Lautsprecher hinten;160;CO 165 EVO;LSR VAG EVO;RSCT 1,5 VAG-3;CONNECTOR 020;;;;;;;;;;;;;;;;;
