Reference (100001-100091);Manufacturer;Model;Type;Year from;Year to;Variant;Link
100001;Audi;A3;8L;1996;;;https://de.wikipedia.org/wiki/Audi_A3_8L
100002;Audi;A3;8P;2003;;;https://de.wikipedia.org/wiki/Audi_A3_8P
100003;Audi;A3;8V;2012;;;https://de.wikipedia.org/wiki/Audi_A3_8V
100004;Audi;A4;B5;1994;;;
100005;Audi;A4;B6;2000;;;
100006;Audi;A4;B7;2004;;;
100007;Audi;A4;B8;2007;;;
100008;Audi;A4;B9;2015;;;
100009;Audi;A5;8T;2007;;;
100010;Audi;A5;F5;2016;;;
100011;Audi;A6;C7;2011;;;
100012;Audi;A6;C8;2018;;;
100013;Audi;A7;C7;2010;;;
100014;Audi;A7;C8;2018;;;
100015;Audi;Q5;8R;2008;;;
100016;Audi;R8;42;2006;;;
100017;Audi;R8;4S;2015;;;
100018;BMW;3er;E46;1998;;;
100019;Citroen;Jumper;;2006;;;
100020;Fiat;Ducato;;2006;;;
100021;Ford;Focus;MK3;2010;;;
100022;Ford;Transit;MK6;2013;;Connect;
100023;Ford;Transit;MK6;2012;;Custom;
100024;Hyundai;I30;PD;2017;;;
100025;Lamborghini;Gallardo;;2003;;;
100026;Mercedes;C-Klasse;W203;2000;;;
100027;Mercedes;C-Klasse;W204;2007;;;
100028;Mercedes;C-Klasse;W205;2014;;Limousine;
100029;Mercedes;C-Klasse;C205;2014;;Coupe;
100030;Mercedes;C-Klasse;S205;2014;;T-Modell;
100031;Mercedes;C-Klasse;A205;2014;;Cabrio;
100032;Mercedes;E-Klasse;A238;2017;;Cabrio;
100033;Mercedes;E-Klasse;C238;2017;;Coupe;
100034;Mercedes;E-Klasse;W213;2016;;Limousine;
100035;Mercedes;E-Klasse;S213;2016;;T-Modell;
100036;Mercedes;GLC;C253;2016;;Coupe;
100037;Mercedes;GLC;X253;2015;;SUV;
100038;Mercedes;Sprinter;W906;2006;;;
100039;Mercedes;Sprinter;W907;2018;;;
100040;Mercedes;V-Klasse;W447;2014;;;
100041;Mercedes;Vito;W447;2014;;;
100042;Mercedes;Vito;W639;2003;;;
100043;Mercedes;Viano;W639;2003;;;
100044;Mercedes;E-Klasse;W124;1984;;;
100045;Mercedes;X-Klasse;W470;2017;;;
100046;Opel;Adam;;2012;;;
100047;Opel;Astra;J;2009;;;
100048;Opel;Astra;K;2015;;;
100049;Opel;Insignia;A;2009;;;
100050;Opel;Karl;;2015;;;
100051;Opel;Meriva;B;2010;;;
100052;Opel;Mokka;A;2012;;;
100053;Opel;Mokka;X;2016;;;
100054;Opel;Zafira;Tourer;2011;;;
100055;Peugeot;Boxer;;2006;;;
100056;Porsche;924;;1975;;;
100057;Saab;9-3;I;1998;;;
100058;Seat;Arosa;;1997;;;
100059;Seat;Cordoba;6K;1993;;;
100060;Seat;Ibiza;6F;2017;;;
100061;Seat;Leon;5F;2012;;;
100062;Skoda;Fabia;6Y;1999;;;
100063;Skoda;Octavia;5E;2012;;;
100064;Skoda;Superb;3V;2015;;;
100065;VW;Bora;;1998;;;
100066;VW;Eos;;2006;;;
100067;VW;Golf;1;1974;;;
100068;VW;Golf;2;1983;;;
100069;VW;Golf;4;1997;;;
100070;VW;Golf;5;2003;;;
100071;VW;Golf;6;2008;;;
100072;VW;Golf;7;2012;;;
100073;VW;Golf;8;2019;;;
100074;VW;ID.4;;2020;;;
100075;VW;Lupo;;1998;;;
100076;VW;Passat;32B;1980;;;
100077;VW;Passat;3B(G);1996;;;
100078;VW;Passat;3C;2005;;;
100079;VW;Polo;9N(3);2001;;;
100080;VW;Polo;6R;2009;;;
100081;VW;Polo;6C;2014;;;
100082;VW;Polo;AW;2017;;;
100083;VW;Scirocco;1;1974;;;
100084;VW;Scirocco;2;1981;;;
100085;VW;Scirocco;3;2008;;;
100086;VW;T4;;1990;;;
100087;VW;T5;;2003;;;
100088;VW;T6;;2015;;;
100089;VW;T6.1;;2019;;;
100090;VW;Touran;5T;2015;;;
100091;VW;Up!;;2011;;;
